Algorithm,Size,Time
QuickSortI,1000,0.000109
QuickSortI,1000,0.000090
QuickSortI,1000,0.000050
QuickSortI,1000,0.000031
QuickSortI,1000,0.000026
QuickSortI,1000,0.000025
QuickSortI,1000,0.000024
QuickSortI,1000,0.000220
QuickSortI,1000,0.000040
QuickSortI,1000,0.000025
QuickSortI,1000,0.000040
QuickSortI,1000,0.000043
QuickSortI,1000,0.000039
QuickSortI,1000,0.000043
QuickSortI,1000,0.000045
QuickSortI,1000,0.000041
QuickSortI,1000,0.000043
QuickSortI,1000,0.000044
QuickSortI,1000,0.000039
QuickSortI,1000,0.000039
QuickSortI,1000,0.000040
QuickSortI,1000,0.000039
QuickSortI,1000,0.000038
QuickSortI,1000,0.000038
QuickSortI,1000,0.000040
QuickSortI,1000,0.000034
QuickSortI,1000,0.000033
QuickSortI,1000,0.000043
QuickSortI,1000,0.000025
QuickSortI,1000,0.000027
QuickSortI,10000,0.001135
QuickSortI,10000,0.001075
QuickSortI,10000,0.000983
QuickSortI,10000,0.000960
QuickSortI,10000,0.000884
QuickSortI,10000,0.000852
QuickSortI,10000,0.001055
QuickSortI,10000,0.001102
QuickSortI,10000,0.001112
QuickSortI,10000,0.001164
QuickSortI,10000,0.001039
QuickSortI,10000,0.001078
QuickSortI,10000,0.001347
QuickSortI,10000,0.001206
QuickSortI,10000,0.001437
QuickSortI,10000,0.000904
QuickSortI,10000,0.000874
QuickSortI,10000,0.000852
QuickSortI,10000,0.000850
QuickSortI,10000,0.000850
QuickSortI,10000,0.000860
QuickSortI,10000,0.000846
QuickSortI,10000,0.000912
QuickSortI,10000,0.001195
QuickSortI,10000,0.001079
QuickSortI,10000,0.001121
QuickSortI,10000,0.001148
QuickSortI,10000,0.001171
QuickSortI,10000,0.001226
QuickSortI,10000,0.000893
QuickSortI,100000,0.010389
QuickSortI,100000,0.009934
QuickSortI,100000,0.008896
QuickSortI,100000,0.009175
QuickSortI,100000,0.008737
QuickSortI,100000,0.008720
QuickSortI,100000,0.008500
QuickSortI,100000,0.009296
QuickSortI,100000,0.008528
QuickSortI,100000,0.008503
QuickSortI,100000,0.008467
QuickSortI,100000,0.008468
QuickSortI,100000,0.008809
QuickSortI,100000,0.008843
QuickSortI,100000,0.009433
QuickSortI,100000,0.008723
QuickSortI,100000,0.008738
QuickSortI,100000,0.008874
QuickSortI,100000,0.008517
QuickSortI,100000,0.009087
QuickSortI,100000,0.008688
QuickSortI,100000,0.009139
QuickSortI,100000,0.009332
QuickSortI,100000,0.008563
QuickSortI,100000,0.008747
QuickSortI,100000,0.008537
QuickSortI,100000,0.008745
QuickSortI,100000,0.008704
QuickSortI,100000,0.008641
QuickSortI,100000,0.008716
QuickSortR,1000,0.000097
QuickSortR,1000,0.000068
QuickSortR,1000,0.000039
QuickSortR,1000,0.000029
QuickSortR,1000,0.000026
QuickSortR,1000,0.000026
QuickSortR,1000,0.000025
QuickSortR,1000,0.000025
QuickSortR,1000,0.000029
QuickSortR,1000,0.000030
QuickSortR,1000,0.000028
QuickSortR,1000,0.000026
QuickSortR,1000,0.000025
QuickSortR,1000,0.000025
QuickSortR,1000,0.000025
QuickSortR,1000,0.000025
QuickSortR,1000,0.000025
QuickSortR,1000,0.000025
QuickSortR,1000,0.000025
QuickSortR,1000,0.000025
QuickSortR,1000,0.000025
QuickSortR,1000,0.000025
QuickSortR,1000,0.000025
QuickSortR,1000,0.000025
QuickSortR,1000,0.000025
QuickSortR,1000,0.000025
QuickSortR,1000,0.000091
QuickSortR,1000,0.000025
QuickSortR,1000,0.000025
QuickSortR,1000,0.000025
QuickSortR,10000,0.000984
QuickSortR,10000,0.000911
QuickSortR,10000,0.000899
QuickSortR,10000,0.000894
QuickSortR,10000,0.000914
QuickSortR,10000,0.000886
QuickSortR,10000,0.000904
QuickSortR,10000,0.000893
QuickSortR,10000,0.000902
QuickSortR,10000,0.000890
QuickSortR,10000,0.000883
QuickSortR,10000,0.000888
QuickSortR,10000,0.000871
QuickSortR,10000,0.000897
QuickSortR,10000,0.000878
QuickSortR,10000,0.000891
QuickSortR,10000,0.000877
QuickSortR,10000,0.000898
QuickSortR,10000,0.000899
QuickSortR,10000,0.000887
QuickSortR,10000,0.000877
QuickSortR,10000,0.000898
QuickSortR,10000,0.000882
QuickSortR,10000,0.000902
QuickSortR,10000,0.000880
QuickSortR,10000,0.000895
QuickSortR,10000,0.000877
QuickSortR,10000,0.000900
QuickSortR,10000,0.000883
QuickSortR,10000,0.000906
QuickSortR,100000,0.009677
QuickSortR,100000,0.009510
QuickSortR,100000,0.010255
QuickSortR,100000,0.008907
QuickSortR,100000,0.009306
QuickSortR,100000,0.008904
QuickSortR,100000,0.011139
QuickSortR,100000,0.012685
QuickSortR,100000,0.009378
QuickSortR,100000,0.010158
QuickSortR,100000,0.009582
QuickSortR,100000,0.010403
QuickSortR,100000,0.008937
QuickSortR,100000,0.010046
QuickSortR,100000,0.008988
QuickSortR,100000,0.008943
QuickSortR,100000,0.009139
QuickSortR,100000,0.008875
QuickSortR,100000,0.008943
QuickSortR,100000,0.009155
QuickSortR,100000,0.008893
QuickSortR,100000,0.008966
QuickSortR,100000,0.008885
QuickSortR,100000,0.009094
QuickSortR,100000,0.008939
QuickSortR,100000,0.008868
QuickSortR,100000,0.008944
QuickSortR,100000,0.008915
QuickSortR,100000,0.009265
QuickSortR,100000,0.009070
